ControlSection,ControlSectionSeq,BeginLogMile,EndLogMile,SegmentLength,AADT,aadt_class,HighwayClassDescription,HighwayClassCode,HwyClassGroups,RouteNames,Cities,Parishes,DOTDDistricts,MapYear,TotalCrashes
001-01,001-01_010,0,4.358,4.358,3924,low,RURAL 2-LANE,19,19,"[""US 80""]","[""Rural Caddo"",""Greenwood""]","[""CADDO""]","[""04""]",2022,56
001-01,001-01_010,4.358,9.304,4.945,11342,med,URBAN 2-LANE,20,20,"[""US 79""]","[""Shreveport"",""Greenwood"",""Rural Caddo""]","[""CADDO""]","[""04""]",2022,63
001-02,001-02_010,0,7.679,7.68,11856,med,URBAN 2-LANE,20,20,"[""US 79""]","[""Rural Caddo"",""Shreveport""]","[""CADDO""]","[""04""]",2022,336
001-02,001-02_010,7.679,8.239,0.56,11856,med,URBAN 2-LANE DIVIDED,27,27,"[""US 79""]","[""Shreveport""]","[""CADDO""]","[""04""]",2022,28
001-02,001-02_010,8.239,9.568,1.328,11856,med,URBAN 2-LANE,20,20,"[""US 79""]","[""Shreveport""]","[""CADDO""]","[""04""]",2022,25
001-02,001-02_010,9.568,10.329,0.761,11856,low,URBAN 4-LANE,22,22,"[""US 79""]","[""Shreveport""]","[""CADDO""]","[""04""]",2022,23
001-02,001-02_010,10.329,10.405,0.077,11856,med,URBAN 1-WAY 2-LANE,4,"3,4,5,6,7,8","[""US 79""]","[""Shreveport""]","[""CADDO""]","[""04""]",2022,2
001-02,001-02_010,10.405,11.032,0.626,11856,low,URBAN 4-LANE,22,22,"[""US 79""]","[""Shreveport""]","[""CADDO""]","[""04""]",2022,65
001-03,001-03_010,0,3.409,3.409,11856,low,URBAN 4-LANE,22,22,"[""US 79""]","[""Bossier City"",""Shreveport""]","[""BOSSIER"",""CADDO""]","[""04""]",2022,362
001-03,001-03_010,3.409,3.534,0.125,11856,low,URBAN 4-LANE DIVIDED,24,24,"[""US 79""]","[""Bossier City""]","[""BOSSIER""]","[""04""]",2022,1
001-03,001-03_010,3.534,15.856,12.323,15627,low,URBAN 4-LANE DIVIDED,24,24,"[""US 79""]","[""Bossier City"",""Rural Bossier""]","[""BOSSIER""]","[""04""]",2022,502
001-03,001-03_010,15.856,15.946,0.09,4052,low,URBAN 4-LANE DIVIDED,24,24,"[""US 79""]","[""Rural Bossier""]","[""BOSSIER""]","[""04""]",2022,1
001-03,001-03_010,15.946,18.472,2.526,4052,low,RURAL 4-LANE DIVIDED,23,23,"[""US 79""]","[""Rural Bossier""]","[""BOSSIER""]","[""04""]",2022,9
001-04,001-04_010,0,5.031,5.031,4052,low,RURAL 4-LANE DIVIDED,23,23,"[""US 79""]","[""Rural Webster""]","[""WEBSTER""]","[""04""]",2022,23
001-04,001-04_010,5.031,5.282,0.251,4052,low,RURAL 2-LANE DIVIDED,26,26,"[""US 79""]","[""Rural Webster""]","[""WEBSTER""]","[""04""]",2022,1
001-04,001-04_010,5.282,6.612,1.33,4052,low,RURAL 2-LANE,19,19,"[""US 79""]","[""Rural Webster"",""Dixie Inn""]","[""WEBSTER""]","[""04""]",2022,16
001-04,001-04_010,6.612,8.305,1.693,9109,low,URBAN 2-LANE,20,20,"[""US 79""]","[""Dixie Inn"",""Minden"",""Rural Webster""]","[""WEBSTER""]","[""04""]",2022,26
001-04,001-04_010,8.305,9.652,1.347,9109,low,URBAN 4-LANE,22,22,"[""US 79""]","[""Minden""]","[""WEBSTER""]","[""04""]",2022,74
001-05,001-05_010,0,0.076,0.076,3955,low,URBAN 4-LANE,22,22,"[""US 79""]","[""Minden""]","[""WEBSTER""]","[""04""]",2022,6
001-05,001-05_010,0.076,0.518,0.441,4403,low,URBAN 2-LANE,20,20,"[""US 79""]","[""Minden""]","[""WEBSTER""]","[""04""]",2022,35
001-05,001-05_010,0.518,0.78,0.262,3955,low,URBAN 2-LANE,20,20,"[""US 80""]","[""Minden""]","[""WEBSTER""]","[""04""]",2022,7
001-05,001-05_010,0.78,1.602,0.822,3955,low,URBAN 4-LANE,22,22,"[""US 80""]","[""Minden""]","[""WEBSTER""]","[""04""]",2022,4
001-05,001-05_010,1.602,2.944,1.342,3955,low,URBAN 2-LANE,20,20,"[""US 80""]","[""Minden"",""Rural Webster""]","[""WEBSTER""]","[""04""]",2022,11
001-05,001-05_010,2.944,7.493,4.548,780,low,RURAL 2-LANE,19,19,"[""US 80""]","[""Rural Webster"",""Minden""]","[""WEBSTER""]","[""04""]",2022,15
001-06,001-06_010,0,10.291,10.291,780,low,RURAL 2-LANE,19,19,"[""US 80""]","[""Rural Bienville"",""Gibsland"",""Rural Webster""]","[""WEBSTER"",""BIENVILLE""]","[""04""]",2022,19
001-06,001-06_010,10.291,11.74,1.449,1741,low,RURAL 2-LANE,19,19,"[""US 80""]","[""Rural Bienville""]","[""BIENVILLE""]","[""04""]",2022,4
001-06,001-06_010,11.74,12.913,1.173,1956,low,RURAL 2-LANE,19,19,"[""US 80""]","[""Rural Bienville""]","[""BIENVILLE""]","[""04""]",2022,3
001-06,001-06_010,12.913,13.973,1.06,2140,low,RURAL 2-LANE,19,19,"[""US 80""]","[""Rural Bienville""]","[""BIENVILLE""]","[""04""]",2022,5
