HighwayClassDescription,HighwayClassCode,ControlSection,ControlSectionSeq,BeginLogMile,EndLogMile,SegmentLength,AADT,RouteNames,DOTDDistricts,Parishes,Fatal,Serious,Minor,Possible,PDO,TL_5y,FI_5y,FSM_5y,TLCpY,TLCpMpY,PredTL,PredTLpMpY,PSI_Limit_TL,Expected_TL,PSI_Limit_TL_Low,TLCr_Delta,TL_LOSS,TL_Rank,FICpY,FICpMpY,PredFI,PredFIpMpY,PSI_Limit_FI,Expected_FI,PSI_Limit_FI_Low,FICr_Delta,FI_LOSS,FI_Rank,HPSI_Rank
RURAL 4-LANE INTERSTATE,12,450-11,450-11_010,14.722,21.664,6.94233371,43760,"[""I-10""]","[""61""]","[""ASCENSION""]",8,3,27,117,263,418,155,38,83.6,12.04206013,317.063312,9.134199686,12.10317447,11.71955199,5.860417059,2.585352299,LOSS 3,9,31,4.465357226,107.0216254,3.083159924,4.050431202,4.070247953,2.02072412,0.987088029,LOSS 4,6,1
RURAL 4-LANE INTERSTATE,12,450-06,450-06_010,7.777,14.393,6.61562367,33188,"[""I-10""]","[""03""]","[""ST. MARTIN""]",2,4,28,103,326,463,137,34,92.6,13.99716861,186.5595572,5.639968852,7.47318094,12.59254354,3.618551248,6.952574683,LOSS 4,4,27.4,4.1417108,66.24205409,2.002594386,2.630862811,3.326091615,1.312514069,1.323497229,LOSS 4,4,2
RURAL 4-LANE INTERSTATE,12,450-06,450-06_010,14.393,19.141,4.74853439,37699,"[""I-10""]","[""03""]","[""ST. MARTIN""]",3,1,13,84,238,339,101,17,67.8,14.27808971,165.9360058,6.988935625,9.260615063,13.25629223,4.484035709,6.267356603,LOSS 4,5,20.2,4.253944131,57.70756578,2.430542186,3.193069497,3.639891131,1.592993987,1.209348945,LOSS 4,5,3
RURAL 4-LANE INTERSTATE,12,450-07,450-07_010,0,1.184,1.18412397,37699,"[""I-10""]","[""61""]","[""IBERVILLE""]",1,2,5,25,75,108,33,8,21.6,18.2413333,41.37883099,6.988935625,9.260615063,16.66396623,4.484035709,9.675030605,LOSS 4,2,6.6,5.573740729,14.39031631,2.430542186,3.193069497,4.515230015,1.592993987,2.084687829,LOSS 4,2,4
URBAN 4-LANE INTERSTATE,13,450-05,450-05_010,0,13.977,13.97725861,50398,"[""I-10""]","[""03""]","[""LAFAYETTE""]",11,19,84,255,839,1208,369,114,241.6,17.28522071,820.9174307,11.74647266,15.37547657,16.74199542,7.766913039,4.995522757,LOSS 4,21,73.8,5.280005333,248.1700238,3.551054334,4.604800366,4.791789844,2.400256629,1.24073551,LOSS 4,19,1
URBAN 4-LANE INTERSTATE,13,450-30,450-30_010,4.5,12.737,8.23656323,58391,"[""INTERSTATE 210 ""]","[""07""]","[""CALCASIEU""]",2,8,66,205,598,879,281,76,175.8,21.34385363,630.9018298,15.31954074,20.0524231,20.88020652,10.12946985,5.560665779,LOSS 4,20,56.2,6.82323421,180.1352983,4.374040319,5.672000641,6.230259539,2.956535801,1.85621922,LOSS 4,15,2
URBAN 4-LANE INTERSTATE,13,450-11,450-11_010,4.295,14.722,10.4264476,51016,"[""I-10""]","[""61""]","[""ASCENSION""]",6,5,56,199,682,948,266,67,189.6,18.18452528,625.0172584,11.98907399,15.69302815,17.58800404,7.927324036,5.598930055,LOSS 4,19,53.2,5.102408993,188.1445494,3.60898662,4.679923579,4.685581264,2.439414676,1.076594644,LOSS 4,21,3
URBAN 4-LANE INTERSTATE,13,450-14,450-14_010,0,8.311,8.31134685,41078,"[""I-10""]","[""02""]","[""ST. CHARLES""]",3,9,45,267,688,1012,324,57,202.4,24.35225044,361.9560544,8.709925381,11.4008058,22.351646,5.759110413,13.64172062,LOSS 4,9,64.8,7.7965703,115.8974244,2.788896348,3.616478295,6.125071347,1.885092797,3.336174999,LOSS 4,12,4
URBAN 4-LANE INTERSTATE,13,450-90,450-90_010,3.428,4.544,1.11626766,153089,"[""I-10""]","[""02""]","[""ORLEANS""]",1,10,40,167,383,601,218,51,120.2,107.6802673,914.8108428,163.9052846,214.5428621,108.1150495,108.3762019,-55.79023516,LOSS 1,84,43.6,39.05873256,157.8400415,28.27996316,36.67180856,38.55123379,19.11521555,10.27127063,LOSS 4,5,5
URBAN 4-LANE INTERSTATE,13,451-02,451-02_010,2.162,7.6,5.43829897,62071,"[""I-20""]","[""04""]","[""BOSSIER""]",4,2,45,183,474,708,234,51,141.6,26.03755343,470.4073954,17.299799,22.64447055,25.43675676,11.43884111,8.136957761,LOSS 4,13,46.8,8.605632066,130.7325314,4.80784643,6.234535131,7.750431318,3.249757446,2.942584888,LOSS 4,13,6
URBAN 4-LANE INTERSTATE,13,450-91,450-91_010,26.2,29.349,3.149259,76883,"[""I-10""]","[""07""]","[""CALCASIEU""]",2,5,32,165,572,776,204,39,155.2,49.28143414,435.7865243,27.675496,36.22567836,48.32822427,18.29938033,20.65272827,LOSS 4,6,40.8,12.95542856,108.9767672,6.920787855,8.974474465,11.94170959,4.677953464,5.020921737,LOSS 4,8,7
URBAN 4-LANE INTERSTATE,13,450-06,450-06_010,0.479,7.777,7.29834347,44782,"[""I-10""]","[""03""]","[""ST. MARTIN""]",6,2,31,143,497,679,182,39,135.8,18.60696205,356.9651829,9.782087796,12.80420651,17.58770816,6.468037465,7.80562036,LOSS 4,15,36.4,4.987433128,111.9243849,3.067117501,3.977259277,4.386401297,2.073150231,1.319283796,LOSS 4,18,8
